Anio,Categoria,Pais,Genero,Edad,Sexo
2017,Aficionado,Colombia,Comedia,29.0,Masculino
2017,Aficionado,Colombia,Comedia,33.0,Masculino
2017,Aficionado,Colombia,Ficcion,30.0,Femenino
2017,Aficionado,Colombia,Drama,25.0,Femenino
2017,Aficionado,Colombia,Drama,26.0,Masculino
2017,Aficionado,Colombia,Documental,24.0,Masculino
2017,Aficionado,Colombia,Comedia,20.0,Masculino
2017,Aficionado,Colombia,Drama,20.0,Femenino
2017,Aficionado,Colombia,Drama,21.0,Masculino
2017,Aficionado,Colombia,Drama,18.0,Masculino
2017,Aficionado,Colombia,Ficcion,24.0,Masculino
2017,Aficionado,Colombia,Documental,25.0,Masculino
2017,Aficionado,Colombia,Drama,25.0,Masculino
2017,Aficionado,Colombia,Drama,22.0,Masculino
2017,Juvenil,Colombia,Suspenso,17.0,Masculino
2017,Juvenil,Colombia,Comedia romantica,14.0,Masculino
2017,Juvenil,Colombia,Drama,17.0,Femenino
2017,Juvenil,Colombia,Terror,17.0,Masculino
2017,Juvenil,Colombia,Drama,17.0,Masculino
2017,Juvenil,Colombia,Documental,17.0,Femenino
2017,Juvenil,Colombia,Suspenso,17.0,Femenino
2017,Juvenil,Colombia,Drama,16.0,Femenino
2017,Juvenil,Colombia,Drama,14.0,Masculino
2017,Juvenil,Colombia,Drama,17.0,Masculino
2017,Juvenil,Colombia,Suspenso,16.0,Masculino
2017,Juvenil,Colombia,Drama,15.0,Masculino
2017,Juvenil,Colombia,Ficcion,17.0,Masculino
2017,Juvenil,Colombia,Ficcion,14.0,Femenino
2017,Juvenil,Colombia,Drama,16.0,Masculino
2017,Juvenil,Colombia,Ficcion,16.0,Femenino
2017,Juvenil,Colombia,Drama,17.0,Masculino
2017,Juvenil,Colombia,Drama,17.0,Masculino
2017,Juvenil,Colombia,Suspenso,16.0,Masculino
2017,Juvenil,Colombia,Accion,14.0,Masculino
2017,Juvenil,Colombia,Suspenso,15.0,Masculino
2017,Juvenil,Colombia,Documental,16.0,Femenino
2017,Juvenil,Colombia,Suspenso,17.0,Masculino
2017,Juvenil,Colombia,Comedia,16.0,Femenino
2017,Juvenil,Colombia,Drama,17.0,Femenino
2017,Juvenil,Colombia,Drama,16.0,Masculino
2017,Juvenil,Colombia,Suspenso,17.0,Femenino
2017,Juvenil,Colombia,Drama,17.0,Masculino
2017,Juvenil,Colombia,Suspenso,16.0,Masculino
2017,Juvenil,Colombia,Comedia romantica,16.0,Masculino
2017,Juvenil,Colombia,Drama,16.0,Masculino
2017,Juvenil,Colombia,Suspenso,16.0,Masculino
2017,Juvenil,Colombia,Ficcion,15.0,Masculino
2017,Juvenil,Colombia,Comedia,16.0,Masculino
2017,Juvenil,Colombia,Suspenso,15.0,Masculino
2017,Juvenil,Colombia,Suspenso,16.0,Femenino
2017,Juvenil,Colombia,Drama,14.0,Masculino
2017,Juvenil,Colombia,Suspenso,17.0,Femenino
2017,Juvenil,Colombia,Suspenso,16.0,Femenino
2017,Juvenil,Colombia,Ficcion,16.0,Femenino
2017,Juvenil,Colombia,Drama,17.0,Femenino
2017,Juvenil,Colombia,Terror,17.0,Femenino
2017,Juvenil,Colombia,Ficcion,17.0,Masculino
2017,Juvenil,Colombia,Terror,14.0,Femenino
2017,Juvenil,Colombia,Drama,15.0,Masculino
2017,Juvenil,Colombia,Accion,17.0,Masculino
2017,Juvenil,Colombia,Drama,14.0,Masculino
2017,Juvenil,Colombia,Drama,15.0,Femenino
2017,Juvenil,Colombia,Drama,14.0,Masculino
2017,Juvenil,Colombia,Ficcion,17.0,Femenino
2017,Juvenil,Colombia,Suspenso,17.0,Masculino
2017,Juvenil,Colombia,Drama,17.0,Masculino
2017,Juvenil,Colombia,Comedia,17.0,Masculino
2017,Juvenil,Colombia,Drama,16.0,Masculino
2017,Juvenil,Colombia,Ficcion,16.0,Masculino
2017,Juvenil,Colombia,Drama,17.0,Masculino
2017,Juvenil,Colombia,Drama,16.0,Femenino
2017,Juvenil,Colombia,Terror,17.0,Masculino
2017,Juvenil,Colombia,Drama,15.0,Masculino
2017,Juvenil,Colombia,Ficcion,16.0,Masculino
2017,Juvenil,Colombia,Comedia,17.0,Femenino
2017,Juvenil,Colombia,Drama,17.0,Femenino
2017,Juvenil,Colombia,Drama,17.0,Femenino
2017,Juvenil,Colombia,Suspenso,16.0,Masculino
2017,Juvenil,Colombia,Suspenso,17.0,Femenino
2017,Juvenil,Colombia,Accion,16.0,Masculino
2017,Juvenil,Colombia,Accion,15.0,Femenino
2017,Juvenil,Colombia,Ficcion,17.0,Femenino
2017,Juvenil,Colombia,Drama,15.0,Masculino
2017,Juvenil,Colombia,Drama,17.0,Femenino
2017,Juvenil,Colombia,Drama,15.0,Femenino
2017,Juvenil,Colombia,Drama,17.0,Masculino
2017,Juvenil,Extranjero,Accion,14.0,Masculino
2017,Juvenil,Colombia,Accion,14.0,Masculino
2017,Juvenil,Colombia,Documental,16.0,Masculino
2017,Juvenil,Colombia,Documental,16.0,Femenino
2017,Juvenil,Colombia,Terror,17.0,Masculino
2017,Juvenil,Colombia,Drama,16.0,Masculino
2017,Juvenil,Colombia,Drama,15.0,Femenino
2017,Juvenil,Colombia,Drama,17.0,Femenino
2017,Juvenil,Colombia,Comedia,17.0,Masculino
2017,Juvenil,Colombia,Suspenso,16.0,Femenino
2017,Juvenil,Colombia,Terror,14.0,Femenino
2017,Juvenil,Colombia,Comedia,14.0,Femenino
2017,Juvenil,Colombia,Drama,14.0,Femenino
2017,Juvenil,Colombia,Drama,16.0,Masculino
2017,Juvenil,Colombia,Drama,14.0,Masculino
2017,Juvenil,Colombia,Suspenso,16.0,Femenino
2017,Juvenil,Colombia,Terror,15.0,Masculino
2017,Juvenil,Extranjero,Drama,14.0,Femenino
2017,Juvenil,Colombia,Drama,17.0,Masculino
2017,Juvenil,Colombia,Terror,17.0,Masculino
2017,Juvenil,Colombia,Drama,15.0,Femenino
2017,Juvenil,Colombia,Ficcion,14.0,Masculino
2017,Juvenil,Colombia,Drama,15.0,Femenino
2017,Juvenil,Colombia,Terror,16.0,Femenino
2017,Juvenil,Colombia,Comedia,17.0,Masculino
2017,Juvenil,Colombia,Drama,14.0,Masculino
2017,Juvenil,Colombia,Suspenso,15.0,Femenino
2017,Juvenil,Colombia,Suspenso,16.0,Masculino
2017,Juvenil,Extranjero,Ficcion,16.0,Masculino
2017,Juvenil,Colombia,Terror,17.0,Femenino
2017,Juvenil,Colombia,Suspenso,15.0,Masculino
2017,Juvenil,Colombia,Drama,17.0,Femenino
2017,Juvenil,Colombia,Terror,17.0,Masculino
2017,Juvenil,Colombia,Accion,16.0,Femenino
2017,Juvenil,Colombia,Drama,17.0,Femenino
2017,Juvenil,Colombia,Comedia,16.0,Masculino
2017,Juvenil,Colombia,Suspenso,16.0,Masculino
2017,Juvenil,Colombia,Comedia romantica,17.0,Femenino
2017,Juvenil,Colombia,Drama,16.0,Femenino
2017,Juvenil,Colombia,Ficcion,17.0,Femenino
2017,Juvenil,Colombia,Drama,17.0,Masculino
2017,Juvenil,Colombia,Drama,17.0,Femenino
2017,Juvenil,Colombia,Comedia,14.0,Femenino
2017,Juvenil,Colombia,Ficcion,16.0,Masculino
2017,Juvenil,Colombia,Drama,17.0,Masculino
2017,Juvenil,Colombia,Drama,17.0,Masculino
2017,Juvenil,Colombia,Suspenso,17.0,Masculino
2017,Juvenil,Colombia,Drama,16.0,Femenino
2017,Juvenil,Colombia,Terror,16.0,Femenino
2017,Juvenil,Colombia,Comedia,16.0,Femenino
2017,Juvenil,Colombia,Drama,16.0,Femenino
2017,Juvenil,Colombia,Drama,16.0,Femenino
2017,Juvenil,Extranjero,Ficcion,14.0,Femenino
2017,Juvenil,Colombia,Drama,14.0,Femenino
2017,Juvenil,Colombia,Drama,14.0,Masculino
2017,Juvenil,Colombia,Documental,17.0,Masculino
2017,Profesional,Colombia,Drama,28.0,Femenino
2017,Profesional,Colombia,Drama,33.0,Masculino
2017,Profesional,Colombia,Suspenso,32.0,Masculino
2017,Profesional,Colombia,Drama,31.0,Masculino
2017,Profesional,Colombia,Drama,42.0,Masculino
2017,Profesional,Colombia,Ficcion,32.0,Masculino
2017,Profesional,Colombia,Ficcion,26.0,Masculino
2017,Profesional,Colombia,Documental,26.0,Femenino
2017,Profesional,Colombia,Ficcion,34.0,Femenino
2017,Profesional,Colombia,Drama,26.0,Masculino
