Año,Categoría,País,Género,Edad,Sexo
2017,Juvenil,Si,Suspenso,16,Masculino
2017,Juvenil,Si,Suspenso,17,Femenino
2017,Juvenil,Si,Acción,16,Masculino
2017,Juvenil,Si,Acción,15,Femenino
2017,Juvenil,Si,Ficción,17,Femenino
2017,Juvenil,Si,Drama,15,Masculino
2017,Juvenil,Si,Drama,17,Femenino
2017,Juvenil,Si,Drama,15,Femenino
2017,Juvenil,Si,Drama,17,Masculino
2017,Juvenil,No,Acción,14,Masculino
2017,Juvenil,Si,Acción,14,Masculino
2017,Juvenil,Si,Documental,16,Masculino
2017,Juvenil,Si,Documental,16,Femenino
2017,Juvenil,Si,Terror,17,Masculino
2017,Juvenil,Si,Drama,16,Masculino
2017,Juvenil,Si,Drama,15,Femenino
2017,Juvenil,Si,Drama,17,Femenino
2017,Juvenil,Si,Comedia,17,Masculino
2017,Juvenil,Si,Suspenso,16,Femenino
2017,Juvenil,Si,Terror,14,Femenino
2017,Juvenil,Si,Comedia,14,Femenino
2017,Juvenil,Si,Drama,14,Femenino
2017,Juvenil,Si,Drama,16,Masculino
2017,Juvenil,Si,Drama,14,Masculino
2017,Juvenil,Si,Suspenso,16,Femenino
2017,Juvenil,Si,Terror,15,Masculino
2017,Juvenil,No,Drama,14,Femenino
2017,Juvenil,Si,Drama,17,Masculino
2017,Juvenil,Si,Terror,17,Masculino
2017,Juvenil,Si,Drama,15,Femenino
2017,Juvenil,Si,Ficción,14,Masculino
2017,Juvenil,Si,Drama,15,Femenino
2017,Juvenil,Si,Terror,16,Femenino
2017,Juvenil,Si,Comedia,17,Masculino
2017,Juvenil,Si,Drama,14,Masculino
2017,Juvenil,Si,Suspenso,15,Femenino
2017,Juvenil,Si,Suspenso,16,Masculino
2017,Juvenil,No,Ficción,16,Masculino
2017,Juvenil,Si,Terror,17,Femenino
2017,Juvenil,Si,Suspenso,15,Masculino
2017,Juvenil,Si,Drama,17,Femenino
2017,Juvenil,Si,Terror,17,Masculino
2017,Juvenil,Si,Acción,16,Femenino
2017,Juvenil,Si,Drama,17,Femenino
2017,Juvenil,Si,Comedia,16,Masculino
2017,Juvenil,Si,Suspenso,16,Masculino
2017,Juvenil,Si,Comedia romántica,17,Femenino
2017,Juvenil,Si,Drama,16,Femenino
2017,Juvenil,Si,Ficción,17,Femenino
2017,Juvenil,Si,Drama,17,Masculino
2017,Juvenil,Si,Drama,17,Femenino
2017,Juvenil,Si,Comedia,14,Femenino
2017,Juvenil,Si,Ficción,16,Masculino
2017,Juvenil,Si,Drama,17,Masculino
2017,Juvenil,Si,Drama,17,Masculino
2017,Juvenil,Si,Suspenso,17,Masculino
2017,Juvenil,Si,Drama,16,Femenino
2017,Juvenil,Si,Terror,16,Femenino
2017,Juvenil,Si,Comedia,16,Femenino
2017,Juvenil,Si,Drama,16,Femenino
2017,Juvenil,Si,Drama,16,Femenino
2017,Juvenil,No,Ficción,14,Femenino
2017,Juvenil,Si,Drama,14,Femenino
2017,Juvenil,Si,Drama,14,Masculino
2017,Juvenil,Si,Documental,17,Masculino
